Resource,Zone,Import,Storage,Liquefaction,Max_Inflow_MMBTU_day,VaporCapacity_MMBTU_day,StorCapacity_MMBTU,LiquefCapacity_MMBTU_day,VaporEff_Down,LiquefEff_Up,InvCost_per_MMBTU,InvCost_per_MMBTUday,County,State,Latitude,Longitude
MA_Berkshire_Storage_1,1,0,1,13,0.0,3000.0,11496.551724137931,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Berkshire,MA,42.45,73.26
MA_Essex_Storage_1,1,0,1,13,0.0,116000.0,999999.9999999999,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Essex,MA,42.46,70.95
MA_Essex_Storage_2,1,0,1,23,0.0,30000.0,999999.9999999999,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Essex,MA,42.51,70.9
MA_Suffolk_Storage_1,1,0,1,13,0.0,187200.0,1.1413793103448276e6,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Suffolk,MA,42.29,71.04
MA_Essex_Storage_3,1,0,1,23,0.0,38000.0,400000.0,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Essex,MA,42.78,71.08
MA_Plymouth_Storage_1,1,0,1,13,0.0,4300.0,8448.275862068966,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Plymouth,MA,41.76,70.71
MA_Barnstable_Storage_1,1,0,1,13,0.0,26400.0,172413.79310344826,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Barnstable,MA,41.67,70.2
MA_Middlesex_Storage_1,1,0,1,23,0.0,80000.0,999999.9999999999,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Middlesex,MA,42.61,71.23
CT_Hartford_Storage_Liquefaction_1,2,0,1,9,0.0,115000.0,1.2e6,6000.0,0.989,1.0,58.75554679995116,146.53106336828856,Hartford,CT,41.66,72.63
MA_Worcester_Storage_1,1,0,1,13,0.0,7000.0,4517.241379310344,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Worcester,MA,42.55,71.9
MA_Hampden_Storage_1,1,0,1,23,0.0,18000.0,17931.03448275862,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Hampden,MA,42.21,72.64
MA_Bristol_Storage_1,1,0,1,13,0.0,30000.0,499999.99999999994,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Bristol,MA,41.68,70.9
MA_Middlesex_Storage_Liquefaction_2,1,0,1,13,0.0,240000.0,3.0e6,17000.0,0.989,1.0,58.75554679995116,146.53106336828856,Middlesex,MA,42.22,71.52
MA_Plymouth_Storage_2,1,0,1,13,0.0,1400.0,2358.620689655172,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Plymouth,MA,41.86,70.9
ME_Androscoggin_Storage_1,3,0,1,18,0.0,34000.0,12193.10344827586,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Androscoggin,ME,44.08,70.17
CT_New London_Storage_1,2,0,1,9,0.0,7000.0,4106.896551724138,0.0,0.989,0.0,58.75554679995116,146.53106336828856,New London,CT,41.55,72.08
CT_New Haven_Storage_Liquefaction_1,2,0,1,17,0.0,120000.0,1.2e6,6000.0,0.989,1.0,58.75554679995116,146.53106336828856,New Haven,CT,41.55,73.07
CT_New Haven_Storage_Liquefaction_1,2,0,1,18,0.0,105000.0,1.2e6,6000.0,0.989,1.0,58.75554679995116,146.53106336828856,New Haven,CT,41.23,73.08
MA_Bristol_Storage_2,1,0,1,13,0.0,40000.0,155172.41379310345,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Bristol,MA,41.71,71.1
MA_Plymouth_Storage_3,1,0,1,13,0.0,13000.0,12234.482758620688,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Plymouth,MA,42.09,70.7
MA_Essex_Storage_4,1,0,1,23,0.0,19000.0,12375.862068965516,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Essex,MA,42.71,71.16
MA_Bristol_Storage_3,1,0,1,13,0.0,50000.0,768965.5172413792,0.0,0.989,0.0,58.75554679995116,146.53106336828856,Bristol,MA,42.03,71.1
MA_Hampden_Storage_Liquefaction_2,1,0,1,23,0.0,48000.0,999999.9999999999,8000.0,0.989,1.0,58.75554679995116,146.53106336828856,Hampden,MA,42.16,72.48
MA_Import,0,1,0,0,4.295e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MA,42.11705681538158,71.46503406514236
CT_Import,0,1,0,0,3.193e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CT,41.615433812659276,72.65811878030881
ME_Import,0,1,0,0,2.192e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ME,44.70014638363622,69.53595605696285
